ERROR|COMPILE_TIME_ERROR|UNDEFINED_IDENTIFIER|C:\\Users\\dilku\\Desktop\\goalapp\\lib\\presentation\\screens\\onboarding\\goal_setup_screen.dart|235|37|13|Undefined name 'AppTextStyles'.
ERROR|COMPILE_TIME_ERROR|UNDEFINED_IDENTIFIER|C:\\Users\\dilku\\Desktop\\goalapp\\lib\\presentation\\screens\\onboarding\\goal_setup_screen.dart|239|24|9|Undefined name 'AppColors'.
ERROR|COMPILE_TIME_ERROR|UNDEFINED_IDENTIFIER|C:\\Users\\dilku\\Desktop\\goalapp\\lib\\presentation\\screens\\onboarding\\goal_setup_screen.dart|244|24|13|Undefined name 'AppTextStyles'.
ERROR|COMPILE_TIME_ERROR|UNDEFINED_IDENTIFIER|C:\\Users\\dilku\\Desktop\\goalapp\\lib\\presentation\\screens\\onboarding\\goal_setup_screen.dart|245|38|9|Undefined name 'AppColors'.
ERROR|COMPILE_TIME_ERROR|UNDEFINED_IDENTIFIER|C:\\Users\\dilku\\Desktop\\goalapp\\lib\\presentation\\screens\\onboarding\\goal_setup_screen.dart|254|31|9|Undefined name 'AppColors'.
ERROR|COMPILE_TIME_ERROR|UNDEFINED_IDENTIFIER|C:\\Users\\dilku\\Desktop\\goalapp\\lib\\presentation\\screens\\onboarding\\goal_setup_screen.dart|255|33|9|Undefined name 'AppColors'.
ERROR|COMPILE_TIME_ERROR|UNDEFINED_IDENTIFIER|C:\\Users\\dilku\\Desktop\\goalapp\\lib\\presentation\\screens\\onboarding\\goal_setup_screen.dart|256|25|9|Undefined name 'AppColors'.
ERROR|COMPILE_TIME_ERROR|UNDEFINED_IDENTIFIER|C:\\Users\\dilku\\Desktop\\goalapp\\lib\\presentation\\screens\\onboarding\\goal_setup_screen.dart|259|27|9|Undefined name 'AppColors'.
ERROR|COMPILE_TIME_ERROR|UNDEFINED_IDENTIFIER|C:\\Users\\dilku\\Desktop\\goalapp\\lib\\presentation\\screens\\onboarding\\goal_setup_screen.dart|272|35|13|Undefined name 'AppTextStyles'.
ERROR|COMPILE_TIME_ERROR|UNDEFINED_IDENTIFIER|C:\\Users\\dilku\\Desktop\\goalapp\\lib\\presentation\\screens\\onboarding\\goal_setup_screen.dart|273|36|13|Undefined name 'AppTextStyles'.
ERROR|COMPILE_TIME_ERROR|INVALID_CONSTANT|C:\\Users\\dilku\\Desktop\\goalapp\\lib\\presentation\\screens\\onboarding\\goal_setup_screen.dart|294|26|9|Invalid constant value.
ERROR|COMPILE_TIME_ERROR|UNDEFINED_IDENTIFIER|C:\\Users\\dilku\\Desktop\\goalapp\\lib\\presentation\\screens\\onboarding\\goal_setup_screen.dart|294|26|9|Undefined name 'AppColors'.
